fiberbatch,mean MPV,ratio,,Nominal
1,269.977,1.030279987,,278.1519
2,267.892,1.038298643,,
3,260.277,1.068676449,,
4,268.17,1.037222284,,
5,282.054,0.986165415,,
6,267.207,1.040960379,,
7,259.017,1.073875074,,
8,255.102,1.090355622,,
9,258.956,1.074128037,,
10,257.082,1.081957897,,
11,252.433,1.101884064,,
12,265.944,1.045904025,,
13,287.306,0.968138152,,
14,310.278,0.896460271,,
15,273.534,1.016882362,,
16,296.17,0.939162981,,
17,0,#DIV/0!,,
18,0,#DIV/0!,,
19,0,#DIV/0!,,
20,0,#DIV/0!,,
21,299.392,0.929055887,,
22,299.908,0.92745742,,
23,321.128,0.866171433,,
24,0,#DIV/0!,,
25,0,#DIV/0!,,
26,0,#DIV/0!,,
27,0,#DIV/0!,,
28,317.945,0.874842819,,
29,306.737,0.906809091,,
30,320.335,0.86831567,,
31,324.397,0.857442886,,
32,317.685,0.875558808,,
33,319.772,0.869844452,,
34,319.891,0.869520868,,
35,305.284,0.911125051,,
36,304.977,0.91204222,,
37,334.897,0.830559545,,
38,317.775,0.875310833,,
39,352.856,0.78828729,,
40,322.156,0.86340748,,
41,0,#DIV/0!,,
42,344.715,0.806903964,,
43,357.215,0.778668029,,
44,335.983,0.827874922,,
45,295.08,0.942632168,,
,,,,
