sector,ib,chi2,ndf,const,const_err,mean,mean_err,sigma,sigma_err
1,0,4.99557,4,12.3655,4.00088,12.3655,6.91595,34.4928,10.452
1,1,4.96446,4,13.693,3.29511,13.693,7.92302,37.8714,7.36228
1,2,8.79985,5,8.98882,1.98089,8.98882,10.4709,55.0895,11.1127
1,3,2.63819,4,12.2742,2.37308,12.2742,8.03933,45.401,6.72329
1,4,5.90886,4,8.46621,1.61626,8.46621,34.9042,81.0818,24.9702
1,5,3.40013,5,10.546,2.15266,10.546,7.86199,44.7125,6.44064
2,0,7.0235,5,6.16347,2.58861,6.16347,19.1116,52.2645,21.8979
2,1,9.36182,4,11.266,2.20164,11.266,7.01989,41.497,5.01742
2,2,2.15138,4,10.8066,1.97478,10.8066,10.9422,55.2757,9.01618
2,3,1.20538,2,12.7223,2.42838,12.7223,13.6191,53.5995,14.7991
2,4,4.08672,5,10.2819,2.22632,10.2819,9.13735,52.3788,10.0793
2,5,1.35192,4,12.3161,2.46383,12.3161,6.55287,39.7735,5.24467
3,0,0.243955,2,13.8139,2.89923,13.8139,8.70361,46.9424,8.07708
3,1,1.38081,4,11.5665,2.25922,11.5665,9.45716,51.519,9.21868
3,2,0.660984,3,14.3721,2.8719,14.3721,6.72047,40.7671,6.83501
3,3,4.54342,3,14.3382,2.91596,14.3382,5.94728,36.8529,5.54423
3,4,1.4183,3,16.4418,3.16384,16.4418,5.6495,34.1281,4.51042
3,5,3.53705,5,9.39875,1.99355,9.39875,8.19579,46.8787,6.69323
4,0,2.23622,4,18.9963,3.78955,18.9963,4.37174,27.7841,3.85138
4,1,1.13124,2,15.4488,3.22542,15.4488,8.77668,40.346,9.73039
4,2,0.635633,3,13.2436,2.53728,13.2436,7.82694,44.6952,7.23967
4,3,2.35492,3,12.3767,2.39658,12.3767,11.6387,46.6877,9.14891
4,4,5.49136,4,9.83589,2.4556,9.83589,9.95112,51.7306,13.1488
4,5,2.29836,5,9.50911,2.04428,9.50911,8.307,46.7207,7.03525
10,0,2.86595,5,5.36706,2.01588,5.36706,13.6559,52.0057,13.0398
10,1,3.57435,4,9.09362,2.28798,9.09362,16.2426,73.3765,30.3288
10,2,5.42785,4,15.5651,4.84523,15.5651,5.49679,33.6244,10.2925
10,3,3.68157,5,9.16304,2.2405,9.16304,19.6995,69.0222,25.3499
10,4,6.97406,7,6.86901,1.47312,6.86901,14.1297,76.8033,15.0424
10,5,2.39882,5,9.39315,2.09132,9.39315,11.1536,53.2479,11.2006
16,0,2.41218,4,6.50088,2.48059,6.50088,13.3861,40.2923,18.867
16,1,1.09887,4,12.2895,2.52633,12.2895,7.43125,46.8809,7.97078
16,2,0.0433201,2,15.7647,2.95033,15.7647,9.52288,41.2286,8.66566
16,3,3.09695,4,15.8854,3.29169,15.8854,5.32611,33.9269,4.99614
16,4,6.44997,6,6.18161,1.38164,6.18161,20.8303,95.2741,29.9245
16,5,13.3596,8,6.78781,2.39968,6.78781,13.3732,50.8054,15.6624
17,0,1.47757,4,13.1226,2.82284,13.1226,6.51867,39.6974,6.84974
17,1,1.75499,3,13.6691,2.48827,13.6691,7.67838,42.0483,5.76753
17,2,0.0818205,1,20.7994,3.99389,20.7994,4.50921,28.3667,4.33774
17,3,0.674185,2,19.5082,3.82896,19.5082,4.51702,29.3734,4.20233
17,4,15.2984,8,1148.72,16060.6,1148.72,4427.21,1042.24,741.773
17,5,4.17214,6,8.44294,2.622,8.44294,11.9287,56.4575,20.4224
